airport,airport_name
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
AEX,"Alexandria, LA: Alexandria International"
AGS,"Augusta, GA: Augusta Regional at Bush Field"
ALB,"Albany, NY: Albany International"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
ATW,"Appleton, WI: Appleton International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
BDL,"Hartford, CT: Bradley International"
BGR,"Bangor, ME: Bangor International"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
BNA,"Nashville, TN: Nashville International"
BOS,"Boston, MA: Logan International"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
BTV,"Burlington, VT: Burlington International"
BUF,"Buffalo, NY: Buffalo Niagara International"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
CAE,"Columbia, SC: Columbia Metropolitan"
CAK,"Akron, OH: Akron-Canton Regional"
CHA,"Chattanooga, TN: Lovell Field"
CHO,"Charlottesville, VA: Charlottesville Albemarle"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CRW,"Charleston/Dunbar, WV: West Virginia International Yeager"
CSG,"Columbus, GA: Columbus Airport"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
CWA,"Mosinee, WI: Central Wisconsin"
DAY,"Dayton, OH: James M Cox/Dayton International"
DCA,"Washington, DC: Ronald Reagan Washington National"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
ELM,"Elmira/Corning, NY: Elmira/Corning Regional"
EVV,"Evansville, IN: Evansville Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
EWR,"Newark, NJ: Newark Liberty International"
EYW,"Key West, FL: Key West International"
FAR,"Fargo, ND: Hector International"
FNT,"Flint, MI: Bishop International"
FWA,"Fort Wayne, IN: Fort Wayne International"
GNV,"Gainesville, FL: Gainesville Regional"
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
GRB,"Green Bay, WI: Green Bay Austin Straubel International"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GSO,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,"Greer, SC: Greenville-Spartanburg International"
HPN,"White Plains, NY: Westchester County"
HRL,"Harlingen/San Benito, TX: Valley International"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
IAD,"Washington, DC: Washington Dulles International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
ILM,"Wilmington, NC: Wilmington International"
IND,"Indianapolis, IN: Indianapolis International"
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
JAX,"Jacksonville, FL: Jacksonville International"
JFK,"New York, NY: John F. Kennedy International"
LAN,"Lansing, MI: Capital Region International"
LEX,"Lexington, KY: Blue Grass"
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
LGA,"New York, NY: LaGuardia"
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
LNK,"Lincoln, NE: Lincoln Airport"
MBS,"Saginaw/Bay City/Midland, MI: MBS International"
MCI,"Kansas City, MO: Kansas City International"
MCO,"Orlando, FL: Orlando International"
MDT,"Harrisburg, PA: Harrisburg International"
MDW,"Chicago, IL: Chicago Midway International"
MEM,"Memphis, TN: Memphis International"
MHT,"Manchester, NH: Manchester Boston Regional"
MKE,"Milwaukee, WI: General Mitchell International"
MLI,"Moline, IL: Quad Cities International"
MOB,"Mobile, AL: Mobile Regional"
MOT,"Minot, ND: Minot International"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OMA,"Omaha, NE: Eppley Airfield"
ORD,"Chicago, IL: Chicago O'Hare International"
ORF,"Norfolk, VA: Norfolk International"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
PHL,"Philadelphia, PA: Philadelphia International"
PIT,"Pittsburgh, PA: Pittsburgh International"
PWM,"Portland, ME: Portland International Jetport"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,"Richmond, VA: Richmond International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional"
ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International"
RST,"Rochester, MN: Rochester International"
RSW,"Fort Myers, FL: Southwest Florida International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SDF,"Louisville, KY: Louisville Muhammad Ali International"
SGF,"Springfield, MO: Springfield-Branson National"
SHV,"Shreveport, LA: Shreveport Regional"
STL,"St. Louis, MO: St Louis Lambert International"
SYR,"Syracuse, NY: Syracuse Hancock International"
TLH,"Tallahassee, FL: Tallahassee International"
TPA,"Tampa, FL: Tampa International"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TUL,"Tulsa, OK: Tulsa International"
TVC,"Traverse City, MI: Cherry Capital"
TYS,"Knoxville, TN: McGhee Tyson"
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
XNA,"Fayetteville, AR: Northwest Arkansas National"
ABQ,"Albuquerque, NM: Albuquerque International Sunport"
AMA,"Amarillo, TX: Rick Husband Amarillo International"
BOI,"Boise, ID: Boise Air Terminal"
BUR,"Burbank, CA: Bob Hope"
BZN,"Bozeman, MT: Bozeman Yellowstone International"
COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
DEN,"Denver, CO: Denver International"
EGE,"Eagle, CO: Eagle County Regional"
ELP,"El Paso, TX: El Paso International"
FAT,"Fresno, CA: Fresno Yosemite International"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
GEG,"Spokane, WA: Spokane International"
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional"
HDN,"Hayden, CO: Yampa Valley"
HNL,"Honolulu, HI: Daniel K Inouye International"
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
JAC,"Jackson, WY: Jackson Hole"
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
LAS,"Las Vegas, NV: Harry Reid International"
LAX,"Los Angeles, CA: Los Angeles International"
LBB,"Lubbock, TX: Lubbock Preston Smith International"
LIH,"Lihue, HI: Lihue Airport"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
MIA,"Miami, FL: Miami International"
MTJ,"Montrose/Delta, CO: Montrose Regional"
OAK,"Oakland, CA: Metro Oakland International"
OGG,"Kahului, HI: Kahului Airport"
OKC,"Oklahoma City, OK: Will Rogers World"
ONT,"Ontario, CA: Ontario International"
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
PDX,"Portland, OR: Portland International"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
PNS,"Pensacola, FL: Pensacola International"
PSP,"Palm Springs, CA: Palm Springs International"
PVD,"Providence, RI: Rhode Island Tf Green International"
RNO,"Reno, NV: Reno/Tahoe International"
SAN,"San Diego, CA: San Diego International"
SAT,"San Antonio, TX: San Antonio International"
SBA,"Santa Barbara, CA: Santa Barbara Municipal"
SEA,"Seattle, WA: Seattle/Tacoma International"
SFO,"San Francisco, CA: San Francisco International"
SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
SJU,"San Juan, PR: Luis Munoz Marin International"
SLC,"Salt Lake City, UT: Salt Lake City International"
SMF,"Sacramento, CA: Sacramento International"
SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
STT,"Charlotte Amalie, VI: Cyril E King"
STX,"Christiansted, VI: Henry E. Rohlsen"
TUS,"Tucson, AZ: Tucson International"
ADK,"Adak Island, AK: Adak"
ADQ,"Kodiak, AK: Kodiak Airport"
ANC,"Anchorage, AK: Ted Stevens Anchorage International"
BET,"Bethel, AK: Bethel Airport"
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial"
CDV,"Cordova, AK: Merle K Mudhole Smith"
FAI,"Fairbanks, AK: Fairbanks International"
JNU,"Juneau, AK: Juneau International"
KTN,"Ketchikan, AK: Ketchikan International"
OME,"Nome, AK: Nome Airport"
OTZ,"Kotzebue, AK: Ralph Wien Memorial"
PSG,"Petersburg, AK: Petersburg James A Johnson"
SCC,"Deadhorse, AK: Deadhorse Airport"
SIT,"Sitka, AK: Sitka Rocky Gutierrez"
WRG,"Wrangell, AK: Wrangell Airport"
YAK,"Yakutat, AK: Yakutat Airport"
BQN,"Aguadilla, PR: Rafael Hernandez"
LGB,"Long Beach, CA: Long Beach Airport"
ORH,"Worcester, MA: Worcester Regional"
PSE,"Ponce, PR: Mercedita"
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
BIL,"Billings, MT: Billings Logan International"
BIS,"Bismarck/Mandan, ND: Bismarck Municipal"
DAB,"Daytona Beach, FL: Daytona Beach International"
DAL,"Dallas, TX: Dallas Love Field"
ECP,"Panama City, FL: Northwest Florida Beaches International"
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
FCA,"Kalispell, MT: Glacier Park International"
FSD,"Sioux Falls, SD: Joe Foss Field"
HOU,"Houston, TX: William P Hobby"
MLB,"Melbourne, FL: Melbourne Orlando International"
MSO,"Missoula, MT: Missoula Montana"
RAP,"Rapid City, SD: Rapid City Regional"
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
BRO,"Brownsville, TX: Brownsville South Padre Island International"
CLL,"College Station/Bryan, TX: Easterwood Field"
CRP,"Corpus Christi, TX: Corpus Christi International"
ERI,"Erie, PA: Erie International/Tom Ridge Field"
GRK,"Killeen, TX: Robert Gray AAF"
HOB,"Hobbs, NM: Lea County Regional"
LCH,"Lake Charles, LA: Lake Charles Regional"
LRD,"Laredo, TX: Laredo International"
MLU,"Monroe, LA: Monroe Regional"
PIA,"Peoria, IL: General Downing - Peoria International"
SBN,"South Bend, IN: South Bend International"
BFM,"Mobile, AL: Mobile International"
ISP,"Islip, NY: Long Island MacArthur"
TTN,"Trenton, NJ: Trenton Mercer"
TYR,"Tyler, TX: Tyler Pounds Regional"
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway"
BLI,"Bellingham, WA: Bellingham International"
BLV,"Belleville, IL: Scott AFB MidAmerica St Louis"
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia"
EUG,"Eugene, OR: Mahlon Sweet Field"
GFK,"Grand Forks, ND: Grand Forks International"
GJT,"Grand Junction, CO: Grand Junction Regional"
GRI,"Grand Island, NE: Central Nebraska Regional"
GTF,"Great Falls, MT: Great Falls International"
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
IAG,"Niagara Falls, NY: Niagara Falls International"
IDA,"Idaho Falls, ID: Idaho Falls Regional"
LCK,"Columbus, OH: Rickenbacker International"
MFR,"Medford, OR: Rogue Valley International - Medford"
MRY,"Monterey, CA: Monterey Regional"
OGD,"Ogden, UT: Ogden-Hinckley"
OGS,"Ogdensburg, NY: Ogdensburg International"
OWB,"Owensboro, KY: Owensboro Daviess County Regional"
PBG,"Plattsburgh, NY: Plattsburgh International"
PGD,"Punta Gorda, FL: Punta Gorda Airport"
PIE,"St. Petersburg, FL: St Pete Clearwater International"
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
PSM,"Portsmouth, NH: Portsmouth International at Pease"
PVU,"Provo, UT: Provo Municipal"
RDM,"Bend/Redmond, OR: Roberts Field"
RFD,"Rockford, IL: Chicago/Rockford International"
SCE,"State College, PA: University Park"
SCK,"Stockton, CA: Stockton Metro"
SFB,"Sanford, FL: Orlando Sanford International"
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
SPI,"Springfield, IL: Abraham Lincoln Capital"
